Partido_x,Localidad_x,link Indec,Velocidad (Mbps),Provincia,Accesos,Hogares Con Internet,Proyeccion_Nuevo_Acceso,KPI_Incremento_Internet
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,3.5,63.0,63.0,64.26,2.000000000000008
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,4.0,7.0,7.0,7.140000000000001,2.000000000000008
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,5.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,6.0,12.0,12.0,12.24,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,8.0,37.0,37.0,37.74,2.0000000000000053
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,10.0,170.0,170.0,173.4,2.0000000000000036
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,15.0,112.0,112.0,114.24000000000001,2.000000000000008
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,20.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,25.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,30.0,11550.0,11550.0,11781.0,2.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,50.0,509.0,509.0,519.1800000000001,2.0000000000000124
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,60.0,37.0,37.0,37.74,2.0000000000000053
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,75.0,9.0,9.0,9.18,1.999999999999997
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,100.0,2727.0,2727.0,2781.54,1.9999999999999987
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,150.0,944.0,944.0,962.88,1.9999999999999993
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,200.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,300.0,3966.0,3966.0,4045.32,2.000000000000004
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,500.0,504.0,504.0,514.08,2.000000000000008
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,1000.0,365.0,365.0,372.3,2.000000000000003
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.0,52.0,52.0,53.04,1.9999999999999982
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.256,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.5,9.0,9.0,9.18,1.999999999999997
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.512,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.75,23.0,23.0,23.46,2.000000000000004
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,1.0,15.0,15.0,15.3,2.000000000000005
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,2.0,78.0,78.0,79.56,2.0000000000000027
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,3.0,14.0,14.0,14.280000000000001,2.000000000000008
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,3.5,34.0,34.0,34.68,1.9999999999999991
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,4.0,115.0,115.0,117.3,1.9999999999999976
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,5.0,14.0,14.0,14.280000000000001,2.000000000000008
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,6.0,82.0,82.0,83.64,2.000000000000001
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,8.0,30.0,30.0,30.6,2.000000000000005
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,10.0,393.0,393.0,400.86,2.0000000000000036
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,15.0,60.0,60.0,61.2,2.000000000000005
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,20.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,25.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,30.0,11384.0,11384.0,11611.68,2.0000000000000027
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,50.0,382.0,382.0,389.64,1.9999999999999967
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,60.0,186.0,186.0,189.72,1.9999999999999993
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,75.0,15.0,15.0,15.3,2.000000000000005
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,100.0,2084.0,2084.0,2125.68,1.999999999999992
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,150.0,3756.0,3756.0,3831.12,1.9999999999999973
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,200.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,300.0,7154.0,7154.0,7297.08,1.9999999999999991
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,500.0,959.0,959.0,978.1800000000001,2.0000000000000067
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,1000.0,1017.0,1017.0,1037.34,1.999999999999992
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,0.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,0.75,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,1.0,6.0,6.0,6.12,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,3.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,3.5,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,5.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,6.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,10.0,149.0,149.0,151.98,1.9999999999999931
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,30.0,4108.0,4108.0,4190.16,1.9999999999999967
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,50.0,117.0,117.0,119.34,2.0000000000000027
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,60.0,64.0,64.0,65.28,2.0000000000000018
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,75.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,100.0,696.0,696.0,709.92,1.9999999999999942
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,150.0,1809.0,1809.0,1845.18,2.0000000000000036
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,300.0,3538.0,3538.0,3608.76,2.000000000000006
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,500.0,497.0,497.0,506.94,1.9999999999999998
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,1000.0,503.0,503.0,513.0600000000001,2.000000000000012
